policy,K,answer_noise,principal_eps,assistant_eps,principal_beta,assistant_beta,rep_seed,episode_id,success,steps,questions_asked,regret,map_correct,episode_max_steps,failure_by_wrong_pick,failure_by_timeout,entropy_before_first_ask,entropy_after_first_ask,effective_goal_count_before,effective_goal_count_after,ig_of_first_asked_question
ask_or_act,3,0.0,0.05,0.05,2.0,2.0,0,0,True,11,1,4.5,True,12,False,False,0.5812356043698022,-1.110223024625156e-15,1.6456300122893497,1.0,0.5812356043698041
ask_or_act,3,0.0,0.05,0.05,2.0,2.0,0,1,True,12,1,2.5,True,15,False,False,1.0986122886681067,-1.110223024625156e-15,3.0,1.0,1.0986122886681096
ask_or_act,3,0.0,0.05,0.05,2.0,2.0,0,2,True,4,1,1.5,False,8,False,False,1.0986122886681067,0.6931471805599433,3.0,2.0,0.6365141682948128
ask_or_act,3,0.0,0.05,0.05,2.0,2.0,0,3,True,10,0,5.0,True,10,False,False,1.0986122886681067,1.0986122886681067,3.0,3.0,0.0
ask_or_act,3,0.0,0.05,0.05,2.0,2.0,0,4,True,12,0,2.0,True,15,False,False,1.0986122886681067,1.0986122886681067,3.0,3.0,0.0
ask_or_act,3,0.0,0.05,0.05,2.0,2.0,0,5,True,3,0,0.0,True,8,False,False,1.0986122886681067,1.0986122886681067,3.0,3.0,0.0
ask_or_act,3,0.0,0.05,0.05,2.0,2.0,0,6,True,7,0,0.0,True,12,False,False,1.0986122886681067,1.0986122886681067,3.0,3.0,0.0
ask_or_act,3,0.0,0.05,0.05,2.0,2.0,0,7,True,11,1,2.5,True,14,False,False,1.0986122886681067,0.6931471805599433,3.0,2.0,0.6365141682948128
ask_or_act,3,0.0,0.05,0.05,2.0,2.0,0,8,True,3,1,1.5,True,7,False,False,1.0986122886681067,0.6931471805599433,3.0,2.0,0.6365141682948128
ask_or_act,3,0.0,0.05,0.05,2.0,2.0,0,9,True,9,1,1.5,True,13,False,False,1.0986122886681067,-1.110223024625156e-15,3.0,1.0,0.6365141682948128
ask_or_act,3,0.0,0.05,0.05,2.0,2.0,0,10,True,7,1,1.5,True,11,False,False,1.0986122886681067,-1.110223024625156e-15,3.0,1.0,1.0986122886681096
ask_or_act,3,0.0,0.05,0.05,2.0,2.0,0,11,True,8,1,4.5,True,9,False,False,0.5693833785322345,-1.110223024625156e-15,1.616640128149387,1.0,0.5693833785322364
